id,content_type,title_ru,title_original,status,reaction,year,creators,participants,genres,duration_minutes,external_rating,external_rating_source,external_id,source,url,location,metadata_json,notes,added_at,consumed_at
restaurant-033,restaurant,Restoran Hanan,Restoran Hanan,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/S7jNkr2jFDB19dDw7,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",- ливанская кухня,2026-08-16,
restaurant-034,restaurant,Rodizio,Rodizio,backlog,,,,,Средний сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/ocjnTk5tf6EJBiir8,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",- бразильский стейк хаус,2026-08-16,
restaurant-035,restaurant,Legat,Legat 1903,backlog,,,,,Дорогой сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/whHzZWYY4J7SGB2k7,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",fine dining,2026-08-16,
restaurant-036,restaurant,Toro Latin GastroBar,Toro Latin GastroBar,backlog,,,,,Дорогой сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/ejvaXiGMPY46rFA38,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",латиноамериканская кухня,2026-08-16,
restaurant-037,restaurant,Salon 1905,Salon 1905,backlog,,,,,Дорогой сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/cbzN6aR67D8sQmYZ8,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}","пафосно, высокая кухня",2026-08-16,
restaurant-038,restaurant,Enso Wine Bar,Enso Wine Bar,backlog,,,,,Дорогой сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/ZH7oTTdsqass4qnXA,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",винный бар,2026-08-16,
restaurant-039,restaurant,Restoran 27,Restoran 27,backlog,,,,,Дорогой сегмент,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/aT8RgdsCko4ezmBv6,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",,2026-08-16,
restaurant-040,restaurant,Mandarina Cake Shop,Mandarina Cake Shop,backlog,,,,,Десерты,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/eGFcgMpRpD8FGR9v5,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",,2026-08-16,
restaurant-041,restaurant,Salon de thé by Small Tree,Salon de thé by Small Tree,backlog,,,,,Десерты,,,,,belgrade_restaurants.md,https://maps.app.goo.gl/sJoJYfiQTMJPoHCT6,"Belgrade, Serbia","{""migrated_from"":""belgrade_restaurants.md""}",- чайхона красивая,2026-08-16,
item-938acf967d87,movie,Горькое Рождество,Amarga Navidad,backlog,,2026,Педро Альмодовар,Pedro Almodóvar,драма; комедия,111,6.3,tmdb,1088548,tmdb,https://www.themoviedb.org/movie/1088548,,"{""vote_count"":119}",Recommended by TMDB update,2026-08-16T20:04:22+00:00,
item-70be324809fc,movie,Аватар: Пламя и пепел,Avatar: Fire and Ash,backlog,,2025,Джеймс Кэмерон,James Cameron,фантастика; приключения; фэнтези,192,7.6,tmdb,83533,tmdb,https://www.themoviedb.org/movie/83533,,"{""vote_count"":4131}",Recommended by TMDB update,2026-08-16T20:19:51+00:00,
